HP_ID,H_ID,P_ID,W_ID,W_RBW,W_SZ,W_SZS,W_SZM,W_AZ,W_AZS,W_AZM,W_FOLGETAG,wegmin,start_time_valid,arrival_time_valid,departure_clock_minute,arrival_clock_minute,arrival_day_offset,arrival_absolute_minute,duration_from_clock_min,clock_duration_plausible,duration_exactly_matches_wegmin,temporal_row_status,W_GEW
5545493,5545490.0,3,5,0,18:30:00,18,30,18:35:00,18,35,0,5,True,True,1110.0,1115.0,0.0,1115.0,5.0,True,True,DIRECT_TEMPORAL_VALID,8.63590096527105
5545493,5545490.0,3,6,0,19:05:00,19,5,19:10:00,19,10,0,5,True,True,1145.0,1150.0,0.0,1150.0,5.0,True,True,DIRECT_TEMPORAL_VALID,8.63590096527105
5546991,5546990.0,1,1,0,6:55:00,6,55,9:25:00,9,25,0,150,True,True,415.0,565.0,0.0,565.0,150.0,True,True,DIRECT_TEMPORAL_VALID,8.62737773371723
5546991,5546990.0,1,2,0,17:55:00,17,55,19:45:00,19,45,0,110,True,True,1075.0,1185.0,0.0,1185.0,110.0,True,True,DIRECT_TEMPORAL_VALID,8.62737773371723
5550281,5550280.0,1,1,0,10:15:00,10,15,12:15:00,12,15,0,120,True,True,615.0,735.0,0.0,735.0,120.0,True,True,DIRECT_TEMPORAL_VALID,2.65963775386629
5550281,5550280.0,1,2,0,12:30:00,12,30,13:30:00,13,30,0,60,True,True,750.0,810.0,0.0,810.0,60.0,True,True,DIRECT_TEMPORAL_VALID,2.65963775386629
5550281,5550280.0,1,3,0,15:00:00,15,0,17:00:00,17,0,0,120,True,True,900.0,1020.0,0.0,1020.0,120.0,True,True,DIRECT_TEMPORAL_VALID,2.65963775386629
5550281,5550280.0,1,4,0,17:00:00,17,0,18:00:00,18,0,0,60,True,True,1020.0,1080.0,0.0,1080.0,60.0,True,True,DIRECT_TEMPORAL_VALID,2.65963775386629
5550282,5550280.0,2,1,0,10:15:00,10,15,12:15:00,12,15,0,120,True,True,615.0,735.0,0.0,735.0,120.0,True,True,DIRECT_TEMPORAL_VALID,4.69181017240656
5550282,5550280.0,2,2,0,12:30:00,12,30,13:30:00,13,30,0,60,True,True,750.0,810.0,0.0,810.0,60.0,True,True,DIRECT_TEMPORAL_VALID,4.69181017240656
