HP_ID,n_direct_trips,all_direct_transitions_resolved,first_origin_activity,has_source_unknown_purpose,has_unresolved_return,chain_coverage_status,full_functional_day_sequence_eligible
15.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
17.0,3,False,UNKNOWN,False,True,DIRECT_REPORTED_CHAIN_COMPLETE,False
2632351.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
2632352.0,3,False,UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
3384741.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5013731.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5507551.0,8,True,HOME,False,False,MIXED_DIRECT_RBW_ADDITIONAL_UNKNOWN,False
5507552.0,7,True,HOME,False,False,MIXED_DIRECT_RBW_UNTIMED,False
5507553.0,6,False,HOME,True,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
5510281.0,7,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5514101.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5520141.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5520191.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5520192.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5522452.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5528741.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5528742.0,3,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
5530651.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5535421.0,6,False,NON_HOME_UNKNOWN,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,False
5540101.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540102.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540103.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540351.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540352.0,7,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5542531.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5542532.0,7,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5542533.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5542534.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5543721.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5544581.0,1,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5544582.0,1,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5545491.0,4,True,HOME,False,False,MIXED_DIRECT_RBW_UNTIMED,False
5545492.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5545493.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5546991.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5550281.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5550282.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
5551851.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
