geography_level,geography_id,geography_name,statistical_population_available,statistical_household_available,resident_total_raw,resident_total,resident_total_quality_flag,private_households_total_raw,private_households_total,private_households_total_quality_flag,hh1_raw,hh1,hh1_quality_flag,hh2_raw,hh2,hh2_quality_flag,hh3_raw,hh3,hh3_quality_flag,hh4_raw,hh4,hh4_quality_flag,hh5_raw,hh5,hh5_quality_flag,hh6plus_raw,hh6plus,hh6plus_quality_flag,private_person_lower_bound_from_hhsize,resident_minus_private_lower_bound,residual_sign,residual_valid_as_exact_nonprivate_count,residual_interpretation,n_disclosure_adjusted_zero_cells_relevant
PLR,01100311,Karl-Marx-Allee,True,True,8.220,8220,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4.774,4774,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.915,2915,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.102,1102,NORMAL_DISCLOSURE_CONTROLLED_COUNT,366,366,NORMAL_DISCLOSURE_CONTROLLED_COUNT,230,230,NORMAL_DISCLOSURE_CONTROLLED_COUNT,107,107,NORMAL_DISCLOSURE_CONTROLLED_COUNT,55,55,NORMAL_DISCLOSURE_CONTROLLED_COUNT,8002,218,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100312,Heine-Viertel West,True,True,9.215,9215,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5.805,5805,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.794,3794,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.281,1281,NORMAL_DISCLOSURE_CONTROLLED_COUNT,403,403,NORMAL_DISCLOSURE_CONTROLLED_COUNT,232,232,NORMAL_DISCLOSURE_CONTROLLED_COUNT,53,53,NORMAL_DISCLOSURE_CONTROLLED_COUNT,46,46,NORMAL_DISCLOSURE_CONTROLLED_COUNT,9034,181,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100313,Heine-Viertel Ost,True,True,9.710,9710,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5.881,5881,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.760,3760,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.215,1215,NORMAL_DISCLOSURE_CONTROLLED_COUNT,511,511,NORMAL_DISCLOSURE_CONTROLLED_COUNT,282,282,NORMAL_DISCLOSURE_CONTROLLED_COUNT,56,56,NORMAL_DISCLOSURE_CONTROLLED_COUNT,55,55,NORMAL_DISCLOSURE_CONTROLLED_COUNT,9461,249,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100414,Nordbahnhof,True,True,5.254,5254,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.804,2804,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.657,1657,NORMAL_DISCLOSURE_CONTROLLED_COUNT,572,572,NORMAL_DISCLOSURE_CONTROLLED_COUNT,316,316,NORMAL_DISCLOSURE_CONTROLLED_COUNT,193,193,NORMAL_DISCLOSURE_CONTROLLED_COUNT,45,45,NORMAL_DISCLOSURE_CONTROLLED_COUNT,23,23,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4884,370,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100415,Invalidenstraße,True,True,12.330,12330,NORMAL_DISCLOSURE_CONTROLLED_COUNT,7.688,7688,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5.201,5201,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.258,1258,NORMAL_DISCLOSURE_CONTROLLED_COUNT,631,631,NORMAL_DISCLOSURE_CONTROLLED_COUNT,415,415,NORMAL_DISCLOSURE_CONTROLLED_COUNT,108,108,NORMAL_DISCLOSURE_CONTROLLED_COUNT,79,79,NORMAL_DISCLOSURE_CONTROLLED_COUNT,12284,46,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100416,Arkonaplatz,True,True,12.541,12541,NORMAL_DISCLOSURE_CONTROLLED_COUNT,7.672,7672,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5.171,5171,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.187,1187,NORMAL_DISCLOSURE_CONTROLLED_COUNT,705,705,NORMAL_DISCLOSURE_CONTROLLED_COUNT,419,419,NORMAL_DISCLOSURE_CONTROLLED_COUNT,113,113,NORMAL_DISCLOSURE_CONTROLLED_COUNT,76,76,NORMAL_DISCLOSURE_CONTROLLED_COUNT,12357,184,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200517,Huttenkiez,True,True,3.248,3248,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.002,2002,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.407,1407,NORMAL_DISCLOSURE_CONTROLLED_COUNT,321,321,NORMAL_DISCLOSURE_CONTROLLED_COUNT,112,112,NORMAL_DISCLOSURE_CONTROLLED_COUNT,78,78,NORMAL_DISCLOSURE_CONTROLLED_COUNT,39,39,NORMAL_DISCLOSURE_CONTROLLED_COUNT,44,44,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3156,92,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200518,Beusselkiez,True,True,6.039,6039,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.674,3674,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.591,2591,NORMAL_DISCLOSURE_CONTROLLED_COUNT,525,525,NORMAL_DISCLOSURE_CONTROLLED_COUNT,261,261,NORMAL_DISCLOSURE_CONTROLLED_COUNT,155,155,NORMAL_DISCLOSURE_CONTROLLED_COUNT,67,67,NORMAL_DISCLOSURE_CONTROLLED_COUNT,77,77,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5841,198,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200519,Emdener Straße,True,True,8.141,8141,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5.181,5181,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.710,3710,NORMAL_DISCLOSURE_CONTROLLED_COUNT,748,748,NORMAL_DISCLOSURE_CONTROLLED_COUNT,340,340,NORMAL_DISCLOSURE_CONTROLLED_COUNT,221,221,NORMAL_DISCLOSURE_CONTROLLED_COUNT,75,75,NORMAL_DISCLOSURE_CONTROLLED_COUNT,83,83,NORMAL_DISCLOSURE_CONTROLLED_COUNT,7983,158,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200520,Bremer Straße,True,True,8.625,8625,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5.491,5491,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.840,3840,NORMAL_DISCLOSURE_CONTROLLED_COUNT,874,874,NORMAL_DISCLOSURE_CONTROLLED_COUNT,378,378,NORMAL_DISCLOSURE_CONTROLLED_COUNT,239,239,NORMAL_DISCLOSURE_CONTROLLED_COUNT,82,82,NORMAL_DISCLOSURE_CONTROLLED_COUNT,82,82,NORMAL_DISCLOSURE_CONTROLLED_COUNT,8580,45,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
