HP_ID,H_ID,P_ID,W_ID,W_RBW,W_ZWECK,canonical_trip_purpose,origin_activity,destination_activity,destination_resolution,transition_observation_eligible,purpose_marginal_eligible,first_origin_status,row_provenance,W_ZWD_raw
93166393.0,93166390.0,3.0,1,0,4,SHOPPING,NON_HOME_UNKNOWN,SHOPPING,DIRECT_FROM_W_ZWECK,False,True,NON_HOME_ACTIVITY_UNKNOWN,DIRECT_TRIP_OBSERVATION,2202.0
93166393.0,93166390.0,3.0,2,0,8,RETURN_HOME,SHOPPING,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93166394.0,93166390.0,4.0,1,0,8,RETURN_HOME,HOME,HOME,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,2202.0
93166394.0,93166390.0,4.0,2,0,7,LEISURE,HOME,LEISURE,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93166394.0,93166390.0,4.0,3,0,7,LEISURE,LEISURE,LEISURE,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93166641.0,93166640.0,1.0,1,0,7,LEISURE,UNKNOWN,LEISURE,DIRECT_FROM_W_ZWECK,False,True,SOURCE_UNKNOWN,DIRECT_TRIP_OBSERVATION,799.0
93166641.0,93166640.0,1.0,2,0,4,SHOPPING,LEISURE,SHOPPING,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,599.0
93166831.0,93166830.0,1.0,1,0,4,SHOPPING,NON_HOME_UNKNOWN,SHOPPING,DIRECT_FROM_W_ZWECK,False,True,NON_HOME_ACTIVITY_UNKNOWN,DIRECT_TRIP_OBSERVATION,2202.0
93166831.0,93166830.0,1.0,2,0,8,RETURN_HOME,SHOPPING,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93167111.0,93167110.0,1.0,1,0,8,RETURN_HOME,NON_HOME_UNKNOWN,HOME,DIRECT_FROM_W_ZWECK,False,True,NON_HOME_ACTIVITY_UNKNOWN,DIRECT_TRIP_OBSERVATION,2202.0
93167111.0,93167110.0,1.0,2,0,10,OTHER,HOME,OTHER,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93167111.0,93167110.0,1.0,3,0,8,RETURN_HOME,OTHER,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93167112.0,93167110.0,2.0,1,0,8,RETURN_HOME,UNKNOWN,HOME,DIRECT_FROM_W_ZWECK,False,True,SOURCE_UNKNOWN,DIRECT_TRIP_OBSERVATION,2202.0
93167112.0,93167110.0,2.0,2,0,10,OTHER,HOME,OTHER,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93167112.0,93167110.0,2.0,3,0,8,RETURN_HOME,OTHER,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93168821.0,93168820.0,1.0,1,0,1,WORK_COMMUTE,HOME,WORK,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,7704.0
93168821.0,93168820.0,1.0,2,0,5,PRIVATE_ERRAND,WORK,PRIVATE_ERRAND,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,601.0
93168821.0,93168820.0,1.0,3,0,8,RETURN_HOME,PRIVATE_ERRAND,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
93168822.0,93168820.0,2.0,1,0,1,WORK_COMMUTE,HOME,WORK,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,7704.0
93168822.0,93168820.0,2.0,2,0,2,BUSINESS,WORK,BUSINESS,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
93168822.0,93168820.0,2.0,3,0,9,RETURN_PREVIOUS,BUSINESS,WORK,CONTEXT_RESOLVED_RETURN_TO_PREVIOUS_ORIGIN,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
93168822.0,93168820.0,2.0,4,0,8,RETURN_HOME,WORK,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
93169751.0,93169750.0,1.0,1,0,8,RETURN_HOME,NON_HOME_UNKNOWN,HOME,DIRECT_FROM_W_ZWECK,False,True,NON_HOME_ACTIVITY_UNKNOWN,DIRECT_TRIP_OBSERVATION,2202.0
93169751.0,93169750.0,1.0,2,0,7,LEISURE,HOME,LEISURE,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93169751.0,93169750.0,1.0,3,0,8,RETURN_HOME,LEISURE,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93171031.0,93171030.0,1.0,1,0,1,WORK_COMMUTE,HOME,WORK,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,2202.0
93171031.0,93171030.0,1.0,2,0,5,PRIVATE_ERRAND,WORK,PRIVATE_ERRAND,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93171031.0,93171030.0,1.0,3,0,8,RETURN_HOME,PRIVATE_ERRAND,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
93171032.0,93171030.0,2.0,1,0,5,PRIVATE_ERRAND,HOME,PRIVATE_ERRAND,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,2202.0
93171032.0,93171030.0,2.0,2,0,8,RETURN_HOME,PRIVATE_ERRAND,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
