metric_id,family,variant,reference,statistic,value,reference_value,delta,unit,role,notes
M2-DIST-01,Distance,REF_FULLDAY_POOL_TRIPS,REF_TRAIN_DISTANCE_RAW,p95,27.55,31.5,-3.9499999999999993,km,DIAGNOSTIC,
M2-DIST-01,Distance,REF_FULLDAY_POOL_TRIPS,REF_TRAIN_DISTANCE_RAW,Wasserstein,2.1889206242875865,0.0,2.1889206242875865,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_RAW,mean,9.818673436492585,12.552110489692243,-2.7334370531996584,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_RAW,p50,2.94,2.97,-0.03000000000000025,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_RAW,p90,16.15,18.9,-2.75,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_RAW,p95,24.3,31.5,-7.199999999999999,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_RAW,Wasserstein,2.73343705222816,0.0,2.73343705222816,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_RAW,mean,10.546198967451653,12.552110489692243,-2.0059115222405897,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_RAW,p50,2.94,2.97,-0.03000000000000025,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_RAW,p90,17.1,18.9,-1.7999999999999972,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_RAW,p95,27.55,31.5,-3.9499999999999993,km,DIAGNOSTIC,
M2-DIST-01,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_RAW,Wasserstein,2.013578954101594,0.0,2.013578954101594,km,DIAGNOSTIC,
M2-DIST-02,Distance,REF_FULLDAY_POOL_TRIPS,REF_TRAIN_DISTANCE_EXPANDED,mean,10.546086568852528,12.704339495990267,-2.158252927137738,km,SENSITIVITY,
M2-DIST-02,Distance,REF_FULLDAY_POOL_TRIPS,REF_TRAIN_DISTANCE_EXPANDED,p50,2.94,3.43,-0.4900000000000002,km,SENSITIVITY,
M2-DIST-02,Distance,REF_FULLDAY_POOL_TRIPS,REF_TRAIN_DISTANCE_EXPANDED,p90,17.96,19.47,-1.509999999999998,km,SENSITIVITY,
M2-DIST-02,Distance,REF_FULLDAY_POOL_TRIPS,REF_TRAIN_DISTANCE_EXPANDED,p95,28.5,34.12,-5.619999999999997,km,SENSITIVITY,
M2-DIST-02,Distance,REF_FULLDAY_POOL_TRIPS,REF_TRAIN_DISTANCE_EXPANDED,Wasserstein,2.1797135426174696,0.0,2.1797135426174696,km,SENSITIVITY,
M2-DIST-02,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_EXPANDED,mean,10.026674020477536,12.704339495990267,-2.6776654755127307,km,SENSITIVITY,
M2-DIST-02,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_EXPANDED,p50,2.94,3.43,-0.4900000000000002,km,SENSITIVITY,
M2-DIST-02,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_EXPANDED,p90,17.1,19.47,-2.3699999999999974,km,SENSITIVITY,
M2-DIST-02,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_EXPANDED,p95,27.0,34.12,-7.119999999999997,km,SENSITIVITY,
M2-DIST-02,Distance,D_REPLAY_EXACT_V1,REF_TRAIN_DISTANCE_EXPANDED,Wasserstein,2.678697092918776,0.0,2.678697092918776,km,SENSITIVITY,
M2-DIST-02,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_EXPANDED,mean,10.81739718978553,12.704339495990267,-1.8869423062047375,km,SENSITIVITY,
M2-DIST-02,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_EXPANDED,p50,2.97,3.43,-0.45999999999999996,km,SENSITIVITY,
M2-DIST-02,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_EXPANDED,p90,18.05,19.47,-1.4199999999999982,km,SENSITIVITY,
M2-DIST-02,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_EXPANDED,p95,30.28,34.12,-3.8399999999999963,km,SENSITIVITY,
M2-DIST-02,Distance,D_MATCH_FULLDAY_V1,REF_TRAIN_DISTANCE_EXPANDED,Wasserstein,1.8992577726146642,0.0,1.8992577726146642,km,SENSITIVITY,
M2-DIAG-DONOR-01,Matching,D_MATCH_FULLDAY_V1,FULLDAY_DIARY_POOL,unique_diary_donors_used,1637.0,1658.0,-21.0,donors,REPORT_ONLY,Repeated matching does not create new empirical diary diversity.
M2-DIAG-DONOR-02,Matching,D_MATCH_FULLDAY_V1,FULLDAY_DIARY_POOL,effective_donor_count_inverse_simpson,1101.5343712871406,1658.0,-556.4656287128594,effective donors,REPORT_ONLY,Concentration measure under 100k assignments.
M2-DIAG-DONOR-03,Matching,D_MATCH_FULLDAY_V1,FULLDAY_DIARY_POOL,top10_donor_assignment_share,0.02721,,,share,REPORT_ONLY,Concentration of matched assignments.
