metric_id,group_dimension,group_value,variant,source_n,synthetic_n,reference_value,value,delta,unit,support_status
M2-COND-02,age_infr_class,07_25_39,D_MATCH_FULLDAY_V1,390,24088,3.5194521653679227,3.0607356360013283,-0.45871652936659446,trips/person-day,OK
M2-COND-02,age_infr_class,08_40_59,D_REPLAY_EXACT_V1,613,23049,3.5087763245254484,3.652522886025424,0.14374656149997556,trips/person-day,OK
M2-COND-02,age_infr_class,08_40_59,D_MATCH_FULLDAY_V1,613,27112,3.5087763245254484,3.1005458837415167,-0.40823044078393167,trips/person-day,OK
M2-COND-02,age_infr_class,09_60_66,D_REPLAY_EXACT_V1,222,7662,3.5412989898300404,3.736100234925607,0.1948012450955665,trips/person-day,OK
M2-COND-02,age_infr_class,09_60_66,D_MATCH_FULLDAY_V1,222,8920,3.5412989898300404,2.814013452914798,-0.7272855369152422,trips/person-day,OK
M2-COND-02,age_infr_class,10_67_74,D_REPLAY_EXACT_V1,251,9291,3.145813893107723,3.026046711871704,-0.11976718123601904,trips/person-day,OK
M2-COND-02,age_infr_class,10_67_74,D_MATCH_FULLDAY_V1,251,10069,3.145813893107723,3.0758764524779023,-0.06993744062982055,trips/person-day,OK
M2-COND-02,age_infr_class,11_75_PLUS,D_REPLAY_EXACT_V1,212,8968,2.1302395026016567,2.2421944692239073,0.11195496662225057,trips/person-day,OK
M2-COND-02,age_infr_class,11_75_PLUS,D_MATCH_FULLDAY_V1,212,10290,2.1302395026016567,2.13488824101069,0.004648738409033459,trips/person-day,OK
M2-COND-01,sex,FEMALE,D_REPLAY_EXACT_V1,1091,46029,0.859375175457037,0.8800538790762346,0.020678703619197547,share,OK
M2-COND-01,sex,FEMALE,D_MATCH_FULLDAY_V1,1091,52475,0.859375175457037,0.8389137684611719,-0.020461406995865072,share,OK
M2-COND-01,sex,MALE,D_REPLAY_EXACT_V1,1063,41562,0.8999911236491703,0.8904768779173283,-0.009514245731842008,share,OK
M2-COND-01,sex,MALE,D_MATCH_FULLDAY_V1,1063,47525,0.8999911236491703,0.850163072067333,-0.04982805158183734,share,OK
M2-COND-02,sex,FEMALE,D_REPLAY_EXACT_V1,1039,43600,3.0760698195027616,3.239678899082569,0.1636090795798073,trips/person-day,OK
M2-COND-02,sex,FEMALE,D_MATCH_FULLDAY_V1,1039,52475,3.0760698195027616,2.881581705574083,-0.1944881139286787,trips/person-day,OK
M2-COND-02,sex,MALE,D_REPLAY_EXACT_V1,1013,39273,3.309650721015384,3.286379955694752,-0.02327076532063188,trips/person-day,OK
M2-COND-02,sex,MALE,D_MATCH_FULLDAY_V1,1013,47525,3.309650721015384,2.9520673329826406,-0.35758338803274325,trips/person-day,OK
M2-COND-01,primary_activity_status,APPRENTICE,D_REPLAY_EXACT_V1,29,1073,0.7899569173907957,0.8630009319664492,0.07304401457565357,share,LOW_N
M2-COND-01,primary_activity_status,APPRENTICE,D_MATCH_FULLDAY_V1,29,1353,0.7899569173907957,0.7339246119733924,-0.05603230541740323,share,LOW_N
M2-COND-01,primary_activity_status,CHILDCARE_INSTITUTION,D_REPLAY_EXACT_V1,71,3297,0.9869843879401137,0.9945404913557779,0.0075561034156642615,share,OK
M2-COND-01,primary_activity_status,CHILDCARE_INSTITUTION,D_MATCH_FULLDAY_V1,71,5042,0.9869843879401137,0.9769932566441888,-0.009991131295924882,share,OK
M2-COND-01,primary_activity_status,CHILD_HOMECARE,D_REPLAY_EXACT_V1,26,1507,0.8039178483541455,0.6297279362972794,-0.17418991205686607,share,LOW_N
M2-COND-01,primary_activity_status,CHILD_HOMECARE,D_MATCH_FULLDAY_V1,26,1835,0.8039178483541455,0.911716621253406,0.10779877289926054,share,LOW_N
M2-COND-01,primary_activity_status,EMPLOYED_FULL_TIME,D_REPLAY_EXACT_V1,786,32509,0.9171775996389842,0.9192531299024885,0.002075530263504377,share,OK
M2-COND-01,primary_activity_status,EMPLOYED_FULL_TIME,D_MATCH_FULLDAY_V1,786,36540,0.9171775996389842,0.867159277504105,-0.05001832213487911,share,OK
M2-COND-01,primary_activity_status,EMPLOYED_MARGINAL,D_REPLAY_EXACT_V1,24,814,0.8352085958431456,0.8439803439803439,0.008771748137198387,share,LOW_N
M2-COND-01,primary_activity_status,EMPLOYED_MARGINAL,D_MATCH_FULLDAY_V1,24,853,0.8352085958431456,0.8077373974208675,-0.027471198422278076,share,LOW_N
M2-COND-01,primary_activity_status,EMPLOYED_PART_TIME,D_REPLAY_EXACT_V1,234,10486,0.9102589015342074,0.9053976730879267,-0.004861228446280674,share,OK
M2-COND-01,primary_activity_status,EMPLOYED_PART_TIME,D_MATCH_FULLDAY_V1,234,11411,0.9102589015342074,0.8462886688283235,-0.06397023270588387,share,OK
M2-COND-01,primary_activity_status,EMPLOYED_SECONDARY_OR_INTERNSHIP,D_REPLAY_EXACT_V1,13,290,0.9337793425079239,0.9206896551724137,-0.013089687335510192,share,LOW_N
M2-COND-01,primary_activity_status,EMPLOYED_SECONDARY_OR_INTERNSHIP,D_MATCH_FULLDAY_V1,13,311,0.9337793425079239,0.8167202572347267,-0.1170590852731972,share,LOW_N
M2-COND-01,primary_activity_status,HOMEMAKER,D_REPLAY_EXACT_V1,31,1029,0.8172606107641395,0.8882410106899903,0.07098039992585081,share,OK
M2-COND-01,primary_activity_status,HOMEMAKER,D_MATCH_FULLDAY_V1,31,1393,0.8172606107641395,0.8837042354630295,0.06644362469888998,share,OK
M2-COND-01,primary_activity_status,NOT_EMPLOYED_UNSPECIFIED,D_REPLAY_EXACT_V1,20,840,0.775569937834527,0.8023809523809524,0.026811014546425427,share,LOW_N
M2-COND-01,primary_activity_status,NOT_EMPLOYED_UNSPECIFIED,D_MATCH_FULLDAY_V1,20,840,0.775569937834527,0.8023809523809524,0.026811014546425427,share,LOW_N
M2-COND-01,primary_activity_status,OTHER_ACTIVITY,D_REPLAY_EXACT_V1,31,1344,0.7629026123488412,0.7477678571428571,-0.015134755205984063,share,OK
M2-COND-01,primary_activity_status,OTHER_ACTIVITY,D_MATCH_FULLDAY_V1,31,1375,0.7629026123488412,0.6036363636363636,-0.15926624871247752,share,OK
M2-COND-01,primary_activity_status,RETIRED,D_REPLAY_EXACT_V1,593,22750,0.8086327777983378,0.8315604395604396,0.022927661762101814,share,OK
M2-COND-01,primary_activity_status,RETIRED,D_MATCH_FULLDAY_V1,593,24199,0.8086327777983378,0.7933798917310633,-0.015252886067274485,share,OK
M2-COND-01,primary_activity_status,SCHOOL,D_REPLAY_EXACT_V1,179,6492,0.903256459148184,0.90788662969809,0.004630170549905999,share,OK
M2-COND-01,primary_activity_status,SCHOOL,D_MATCH_FULLDAY_V1,179,8171,0.903256459148184,0.8585240484640803,-0.04473241068410372,share,OK
M2-COND-01,primary_activity_status,STUDENT,D_REPLAY_EXACT_V1,81,3167,0.8980662132937545,0.8863277549731607,-0.011738458320593725,share,OK
